Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,137.2042236328125,113.0,95.6500015258789,230.20428466796875,265.25,138.1999969482422,113.0,95.6500015258789,232.89999389648438,265.25,143.10000610351562,116.91999816894531,98.9000015258789,240.5399932861328,275.57000732421875,138.0,112.83999633789062,95.55999755859375,232.72999572753906,262.4700012207031,141.27999877929688,114.08000183105469,97.05000305175781,238.2899932861328,266.1499938964844,124925300,59479600,32941500,35694800,67726600
2022-10-03,141.42359924316406,115.87999725341797,98.63999938964844,237.95355224609375,242.39999389648438,142.4499969482422,115.87999725341797,98.63999938964844,240.74000549316406,242.39999389648438,143.07000732421875,116.91000366210938,99.29000091552734,241.61000061035156,255.16000366210938,137.69000244140625,112.44999694824219,96.5199966430664,234.66000366210938,241.00999450683594,138.2100067138672,113.58000183105469,96.76000213623047,235.41000366210938,254.5,114311700,50941900,27982000,28880400,98363500
2022-10-04,145.0473175048828,121.08999633789062,101.63999938964844,245.9993438720703,249.44000244140625,146.10000610351562,121.08999633789062,101.63999938964844,248.8800048828125,249.44000244140625,146.22000122070312,123.0,101.83999633789062,250.36000061035156,257.5,144.25999450683594,119.79000091552734,100.37999725341797,244.97999572753906,242.00999450683594,145.02999877929688,119.88999938964844,100.44000244140625,245.08999633789062,250.52000427246094,87830100,62812600,28850800,34888400,109578500
2022-10-05,145.34512329101562,120.94999694824219,101.43000030517578,246.3156280517578,240.80999755859375,146.39999389648438,120.94999694824219,101.43000030517578,249.1999969482422,240.80999755859375,147.3800048828125,121.75,101.93000030517578,250.5800018310547,246.6699981689453,143.00999450683594,117.69000244140625,98.80000305175781,244.10000610351562,233.27000427246094,144.07000732421875,118.58000183105469,99.83000183105469,245.99000549316406,245.00999450683594,79471000,48217500,22176900,20347100,86982700
2022-10-06,144.38211059570312,120.30000305175781,101.41999816894531,243.9335174560547,238.1300048828125,145.42999267578125,120.30000305175781,101.41999816894531,246.7899932861328,238.1300048828125,147.5399932861328,121.52999877929688,102.93000030517578,250.33999633789062,244.5800018310547,145.22000122070312,119.5,100.58999633789062,246.0800018310547,235.35000610351562,145.80999755859375,120.7699966430664,100.68000030517578,247.92999267578125,239.44000244140625,68402200,42253800,22324000,20239900,69298400
2022-10-07,139.0806121826172,114.55999755859375,98.68000030517578,231.52879333496094,223.07000732421875,140.08999633789062,114.55999755859375,98.68000030517578,234.24000549316406,223.07000732421875,143.10000610351562,118.16999816894531,100.52999877929688,241.32000732421875,234.57000732421875,139.4499969482422,113.87999725341797,98.30000305175781,233.1699981689453,222.02000427246094,142.5399932861328,118.0,99.8499984741211,240.89999389648438,233.94000244140625,85925600,54678000,27502800,37769600,83916800
2022-10-10,139.40823364257812,113.66999816894531,97.86000061035156,226.5965576171875,222.9600067138672,140.4199981689453,113.66999816894531,97.86000061035156,229.25,222.9600067138672,141.88999938964844,116.25,99.0999984741211,234.55999755859375,226.99000549316406,138.57000732421875,112.43000030517578,97.01000213623047,226.72999572753906,218.36000061035156,140.4199981689453,115.0999984741211,99.0,233.0500030517578,223.92999267578125,74899000,42339700,18225100,29743600,67925000
2022-10-11,137.97860717773438,112.20999908447266,97.18000030517578,222.80099487304688,216.5,138.97999572753906,112.20999908447266,97.18000030517578,225.41000366210938,216.5,141.35000610351562,115.4800033569336,99.25,229.05999755859375,225.75,138.22000122070312,110.38999938964844,96.30999755859375,224.11000061035156,215.0,139.89999389648438,112.70999908447266,97.43000030517578,227.6199951171875,220.9499969482422,77033700,56432200,26507100,30474000,77013200
2022-10-12,137.34320068359375,112.9000015258789,97.55999755859375,223.1370391845703,217.24000549316406,138.33999633789062,112.9000015258789,97.55999755859375,225.75,217.24000549316406,140.36000061035156,113.83000183105469,98.75,227.86000061035156,219.3000030517578,138.16000366210938,111.4000015258789,96.73999786376953,223.9600067138672,211.50999450683594,139.1300048828125,112.48999786376953,97.30000305175781,225.39999389648438,215.3300018310547,70433700,45728700,21876400,21903900,66860700
2022-10-13,141.959716796875,112.52999877929688,99.05999755859375,231.52879333496094,221.72000122070312,142.99000549316406,112.52999877929688,99.05999755859375,234.24000549316406,221.72000122070312,143.58999633789062,113.44000244140625,99.77999877929688,236.10000610351562,222.99000549316406,134.3699951171875,105.3499984741211,94.37999725341797,219.1300048828125,206.22000122070312,134.99000549316406,107.87999725341797,95.1500015258789,219.85000610351562,208.3000030517578,113224000,86868100,34574500,42551800,91483000
